ScenarioId,Category,Difficulty,ServSafeVersion,Scenario,Choice1,Choice2,Choice3,CorrectChoice,Explanation
12,Adjustments to Income,2,8,"A taxpayer contributes $2,000 directly to her HSA outside of any payroll deduction. Where does this benefit show up on her return?",As an itemized deduction on Schedule A,As an adjustment to income on Schedule 1,As a tax credit,2,"HSA contributions made outside of payroll are deducted as an adjustment to income, reducing AGI even if the taxpayer doesn't itemize."
13,Health Savings Accounts,1,8,A taxpayer age 40 withdraws HSA funds to pay for a family vacation. What is the tax consequence?,"Tax-free, since it is her own HSA",The withdrawal is taxable income and generally hit with a 20% additional tax,Only the earnings portion is taxed,2,HSA withdrawals for non-qualified expenses before age 65 are taxable income and generally subject to an additional 20% tax.
14,Health Savings Accounts,2,8,"A 67-year-old withdraws HSA funds to pay for home repairs, not a medical expense. What happens?",The withdrawal is taxed as ordinary income but avoids the 20% additional tax because she is over 65,The withdrawal is completely tax-free because she is over 65,The withdrawal is subject to both income tax and the 20% additional tax,1,"After age 65, non-medical HSA withdrawals are taxed as ordinary income but no longer trigger the 20% additional tax."
15,Deductions,1,8,A taxpayer's total itemized deductions come to less than the standard deduction for her filing status. What should she do?,"Itemize anyway, since she has receipts","Take the standard deduction, since it produces a better result",Average the two amounts,2,"Taxpayers should use whichever is larger - the standard deduction or itemized deductions - since either can be used, and the larger one produces a lower taxable income."
16,Deductions,2,8,A taxpayer's unreimbursed medical expenses are below the AGI threshold required before any of it can be deducted. Can any of it be deducted?,"Yes, the full amount can be deducted regardless of AGI","No, only the portion exceeding the AGI threshold on Schedule A is deductible",Only if the taxpayer is over 65,2,"Medical expenses are deductible only to the extent they exceed a set percentage of the taxpayer's AGI, so amounts below that threshold aren't deductible at all."
17,Tax Credits & Calculations,1,8,"A taxpayer qualifies for a $1,000 nonrefundable credit but only owes $600 in tax before credits. What happens to the remaining $400?",It is refunded to the taxpayer,"It is generally lost, since a nonrefundable credit can't reduce tax below zero",It automatically carries forward to next year in every case,2,A nonrefundable credit can only reduce tax liability to zero - any excess is generally lost unless that specific credit allows a carryforward.
18,Tax Credits & Calculations,2,8,A low-income working parent with two qualifying children may be eligible for which refundable credit aimed at working taxpayers?,The Lifetime Learning Credit,The Earned Income Tax Credit,The Foreign Tax Credit,2,"The Earned Income Tax Credit is a refundable credit designed to benefit low-to-moderate income working taxpayers, especially those with qualifying children."
19,Tax Credits & Calculations,2,8,"A taxpayer paid $4,000 in qualified tuition for his child's first year of college. Which credit is designed for exactly this situation?",The American Opportunity Credit,The Saver's Credit,The Child and Dependent Care Credit,1,The American Opportunity Credit is specifically designed for qualified expenses during the first four years of postsecondary education.
20,Tax Credits & Calculations,3,8,A married couple files Married Filing Separately. What is a common consequence for their credit eligibility?,No change to credit eligibility compared to filing jointly,"They are disqualified from several major credits, including the Earned Income Tax Credit",They automatically qualify for a higher credit rate,2,"Married Filing Separately status disqualifies taxpayers from a number of significant credits, including the Earned Income Tax Credit, in most situations."
21,Residency & Multi-State Filing,2,8,A taxpayer moved from State A to State B halfway through the year and worked in both. What kind of return does State A likely require?,A full-year resident return,A part-year resident return,"No return, since he no longer lives there",2,"When a taxpayer moves into or out of a state partway through the year, a part-year resident return is typically required for the state they left."
22,Residency & Multi-State Filing,2,8,"A taxpayer lives in State A but works entirely in State B, and the two states have no reciprocity agreement. What generally happens?",The taxpayer only files in State A,"The taxpayer typically files a nonresident return in State B and a resident return in State A, often claiming a credit for taxes paid to State B",The taxpayer owes no state tax anywhere,2,"Without a reciprocity agreement, income earned in State B is generally taxed there through a nonresident return, while the resident state (State A) usually allows a credit for taxes paid to the other state to avoid double taxation."
