ID,DOT,Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer,Category,Subcategory,Explanation,MustInclude,Difficulty,Language,Region,Product,PresenterContent,ContentSlide,JeopardyBoard,Reserved3,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Reserved11,Reserved12,Reserved13,Reserved14,Reserved15
10018,,What was the 2024 standard deduction for a Married Filing Jointly couple?,"$29,200 ","$14,600 ","$21,900 ","$27,700 ",1,Filing Basics & Dependents,Standard Deduction,"The 2024 standard deduction was $14,600 for Single/MFS filers and $29,200 for MFJ/Qualifying Surviving Spouse, with an additional $1,550-$1,950 per spouse age 65+ (course cited approximately $6,000 combined for both spouses 65+).",1,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10019,,"Line 13 of Form 1040 reports which deduction, requiring Form 8995 or 8995-A?",Qualified Business Income (QBI) deduction,Standard deduction,Itemized deductions,Educator expense deduction,1,Filing Basics & Dependents,Standard Deduction,"Line 13 reports the Qualified Business Income deduction, which requires Form 8995 (simplified) or 8995-A (more complex situations).",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10020,,When is a taxpayer eligible for a refund?,When combined payments and credits exceed the tax owed,When payments and credits exactly equal tax owed,Only when itemizing deductions,Only if income is below the filing threshold,1,Filing Basics & Dependents,Refund Eligibility,"A refund occurs specifically when combined payments and credits are MORE than the tax owed, not merely equal to it.",0,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10021,,Which of these is an example of misclassifying income on Form 1040?,Reporting taxable interest from Form 1099-INT on Line 2a (tax-exempt) instead of Line 2b (taxable),Filing an extension after April 15,Choosing to itemize instead of taking the standard deduction,Claiming the Child Tax Credit for an eligible child,1,Filing Basics & Dependents,Misclassification Errors,"Misclassifying income happens when income or deductions are placed on the wrong line, such as reporting taxable interest as tax-exempt interest.",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10022,,A taxpayer recently got married but still files as Single. What is wrong with this?,"Once married, a person can no longer file as Single - only MFJ or MFS",Nothing is wrong; Single remains valid until the following year,They must file as Head of Household instead,They must wait until they have a child to change status,1,Filing Basics & Dependents,Filing Status Errors,"Marital status is determined as of December 31 of the tax year - once married, Single is no longer an available filing status; the choice becomes Married Filing Jointly or Married Filing Separately.",1,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10023,,"A taxpayer's Schedule D correctly shows capital gain dividends from Form 1099-DIV, but the result never gets carried onto Form 1040. What type of error is this?",Schedule not included/not carried forward to the main return,Misclassified income,Inaccurate filing status,Math error,1,Filing Basics & Dependents,Schedule Errors,"Even when a supporting schedule is completed correctly, its result must actually be carried onto Form 1040 - failing to do so is its own distinct error type.",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10024,,"Which schedule is used to report Additional Income and Adjustments to Income, such as rental income flowing in from Schedule E?",Schedule 1,Schedule A,Schedule B,Schedule C,1,Tax Credits & Calculations,Schedule Purposes,Schedule 1 covers Additional Income and Adjustments to Income.,1,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10025,,Which schedule reports Profit or Loss From Business for a sole proprietorship?,Schedule C,Schedule E,Schedule SE,Schedule 1,1,Tax Credits & Calculations,Schedule Purposes,"Schedule C reports self-employment/business income, distinct from Schedule E's passive rental, royalty, and partnership income.",1,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10026,,"Rental real estate income should be reported on which schedule, which then flows into Schedule 1?",Schedule E,Schedule C,Schedule A,Schedule D,1,Tax Credits & Calculations,Schedule Purposes,"Schedule E (Supplemental Income and Loss) covers rental real estate, royalties, partnerships, S corporations, estates, and trusts.",1,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10027,,When must Schedule B be filed?,"If taxable interest and/or ordinary dividends exceed $1,500 for the year, among other triggers","Whenever any interest is received, no matter the amount",Only for foreign-sourced dividends,Only if the taxpayer itemizes,1,Tax Credits & Calculations,Schedule Purposes,"Schedule B is required if interest/dividends exceed $1,500, or for amortizable bond premium interest, seller-financed mortgages, or foreign accounts.",1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10028,,Which schedule is used only if a taxpayer's itemized deductions exceed the standard deduction?,Schedule A,Schedule 1,Schedule 2,Schedule 3,1,Tax Credits & Calculations,Schedule Purposes,Schedule A (Itemized Deductions) is used only when itemizing produces a larger deduction than the standard deduction.,1,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10029,,"Which schedule reports Self-Employment Tax, and must be completed by anyone with self-employment income regardless of age?",Schedule SE,Schedule C,Schedule 2,Schedule 3,1,Tax Credits & Calculations,Schedule Purposes,Schedule SE calculates self-employment tax and applies regardless of the taxpayer's age or Social Security/Medicare benefit status.,0,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10030,,"Which schedule covers Additional Taxes, such as self-employment tax owed or clean-vehicle credit recapture?",Schedule 2,Schedule 1,Schedule 3,Schedule EIC,1,Tax Credits & Calculations,Schedule Purposes,Schedule 2 (Additional Taxes) covers items like self-employment tax owed and repayment of certain credits.,0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10031,,Which schedule must be attached when claiming Child Tax Credits?,Schedule 8812,Schedule EIC,Schedule 3,Schedule A,1,Tax Credits & Calculations,Schedule Purposes,Schedule 8812 (Credits for Qualifying Children and Other Dependents) is required when claiming child tax credits.,0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10032,,"Which schedule is completed for nonrefundable credits, refundable credits, and other payments not otherwise listed on Form 1040?",Schedule 3,Schedule 2,Schedule 1,Schedule SE,1,Tax Credits & Calculations,Schedule Purposes,Schedule 3 (Additional Credits and Payments) covers this category of items.,0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10033,,Which schedule must be attached to Form 1040/1040-SR when claiming the EITC with a qualifying child?,Schedule EIC,Schedule 8812,Schedule 1,Schedule C,1,Tax Credits & Calculations,Schedule Purposes,Schedule EIC (Earned Income Credit Qualifying Child Information) is attached only when the taxpayer has a qualifying child and qualifies for the EITC.,0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10034,,Which schedule reports Capital Gains and Losses from the sale of capital assets?,Schedule D,Schedule E,Schedule B,Schedule 3,1,Tax Credits & Calculations,Schedule Purposes,"Schedule D covers capital gains and losses, including capital gain distributions.",1,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10035,,"In general, when must an individual make estimated tax payments?","When they expect to owe $1,000 or more, unless an exception applies","Whenever they are self-employed, with no dollar threshold",Only if they had a balance due the prior year,"Only if their income exceeds $100,000",1,Filing Basics & Dependents,Estimated Tax Requirement,"The general threshold for estimated payments is expecting to owe $1,000 or more, subject to a set of exemption conditions.",1,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10036,,"A sole proprietor expects to owe $1,500 this year but had no tax liability last year, was a U.S. citizen all year, and last year covered a full 12 months. Must she make estimated payments?","No - she meets all three exemption conditions even though her liability exceeds $1,000","Yes, because her liability exceeds $1,000","Yes, because she is self-employed","No, because sole proprietors are always exempt",1,Filing Basics & Dependents,Estimated Tax Exemptions,"An individual is exempt from estimated payments if they had no prior-year tax liability, were a U.S. citizen/resident alien all year, and the prior year covered 12 months - all three are met here.",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10037,,Which of these is NOT a valid reason to waive the underpayment penalty?,Being unaware of the tax laws,A severe weather disaster,"Becoming disabled with reasonable cause, not willful neglect",Retiring after turning 62,1,Filing Basics & Dependents,Underpayment Penalty,"Ignorance of the law is not a valid waiver reason. Valid reasons include a casualty/disaster, disability with reasonable cause, or retiring after age 62.",1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10038,,Which form is used to determine whether a penalty applies for underpayment of estimated tax?,Form 2210,Form 4972,Form 8606,Form 8889,1,Filing Basics & Dependents,Underpayment Penalty,Form 2210 is used to verify whether an underpayment penalty applies.,0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10039,,Which of the following is one of the four estimated tax payment due dates?,15-Sep,1-Mar,1-Aug,15-Nov,1,Filing Basics & Dependents,Due Dates,"The four estimated payment due dates are April 15, June 15, September 15, and January 15 of the following year.",0,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10040,,What is a key requirement when submitting a filing extension request?,"The request must be submitted by April 15, and any tax owed must be paid at that time",The extension also extends the deadline to pay any tax owed,Extensions are only available to taxpayers who itemize,No payment is required until the extended filing deadline,1,Filing Basics & Dependents,Filing Extensions,"An extension only extends the time to file, not the time to pay - tax owed is still due by April 15, and late payment triggers fees plus interest even with an approved extension.",1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10041,,Which of the following is an IRS exception category to the 10% early withdrawal penalty on retirement accounts?,First-time homebuyers,Vacation expenses,Credit card debt payoff,Routine home repairs,1,Retirement Accounts & Distributions,Early Withdrawal Penalty Exceptions,"First-time homebuyer withdrawals (up to $10,000, IRA only - not 401(k)) are among the IRS exceptions to the 10% early withdrawal penalty, alongside death, disability, and certain medical and rollover situations.",1,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10042,,"A qualified first-time homebuyer wants to withdraw up to $10,000 penalty-free for a home purchase. From which account can they do this?","An IRA, but not a 401(k)","A 401(k), but not an IRA",Either an IRA or a 401(k) equally,Neither - this exception does not exist,1,Retirement Accounts & Distributions,Early Withdrawal Penalty Exceptions,"The $10,000 first-time homebuyer exception to the 10% penalty applies to IRAs only, not 401(k) plans.",1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10043,,"A retired law enforcement officer pays $4,600 in health insurance premiums directly from her IRA to the insurer. How much can she exclude from taxable income under the Public Safety Officer Premium Exclusion?","$3,000 (she must report the remaining $1,600 as taxable)","The full $4,600","$1,600 ",$0 - IRA distributions don't qualify,1,Retirement Accounts & Distributions,Public Safety Officer Premium Exclusion,"Eligible retired public safety officers can exclude up to $3,000 per year for premiums paid directly from the retirement plan to the insurer; any excess remains taxable.",1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10044,,"Which role is NOT eligible for the $3,000 Public Safety Officer Premium Exclusion, even though it IS treated as a public safety officer for the 10% early-withdrawal-penalty exemption?",Air traffic controller,Firefighter,Law enforcement officer,Rescue squad member,1,Retirement Accounts & Distributions,Public Safety Officer Premium Exclusion,"Air traffic controllers qualify as public safety officers for the early-withdrawal-penalty exemption but are specifically excluded from the $3,000 premium exclusion - two separate eligibility lists.",1,3,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10045,,"Does the $3,000 Public Safety Officer Premium Exclusion extend to a surviving spouse after the retired officer's death?",No - it applies only during the retired officer's own lifetime,Yes - it automatically continues for the spouse,"Yes, but only for one year after death","Yes, but only if the spouse remarries a public safety officer",1,Retirement Accounts & Distributions,Public Safety Officer Premium Exclusion,The exclusion applies only to the retired officer during their own lifetime and does not extend to survivors.,0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10046,,"A taxpayer earning $50,000/year takes a $150,000 lump-sum retirement withdrawal, pushing taxable income to $200,000. What happens to her tax bracket?","She moves into a much higher tax bracket, since lump sums are taxed as ordinary income added to total taxable income",Her bracket is unaffected since retirement income is taxed separately,The lump sum is taxed at a flat 10% regardless of bracket,"Only the amount over $100,000 is taxable",1,Retirement Accounts & Distributions,Lump-Sum Distributions,"Lump-sum distributions are taxed as regular income and are added to total taxable income for the year, which can push a taxpayer into a much higher bracket.",1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10047,,Which of the following can help reduce the tax burden of a lump-sum retirement distribution?,"Rolling the distribution into an IRA within 60 days, or taking smaller periodic distributions instead",Depositing the withdrawn funds into a regular savings account,Spending the funds immediately on deductible expenses,Reporting only half of the distribution,1,Retirement Accounts & Distributions,Lump-Sum Distributions,"A 60-day rollover into an IRA, or spreading withdrawals over time instead of taking a lump sum, both help reduce the tax impact; simply moving cash to a savings account does not avoid taxation.",1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10048,IRS Form 4972,Under what condition can a taxpayer use Form 4972 to elect preferential tax treatment (10-year averaging or 20% capital gain treatment) on a lump-sum distribution?,"They were born before January 2, 1936",They rolled the entire distribution into an IRA,They are over age 59 1/2,They closed the retirement account entirely,1,Retirement Accounts & Distributions,Lump-Sum Distributions,"Form 4972's preferential treatment is available only to taxpayers born before January 2, 1936 - simply rolling over or closing the account does not grant this treatment.",0,3,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10049,,A retiree receives a lump-sum Social Security payment covering benefits for several prior years. Must they amend their tax returns for those prior years?,No - the lump-sum election method accounts for it entirely on the current year's return,"Yes, they must amend each prior year individually","Yes, but only the most recent prior year",No amendment or special reporting is needed at all,1,Retirement Accounts & Distributions,Social Security Benefits - Lump Sum,"The lump-sum election method calculates how much of the payment would have been taxable in each prior year, without requiring the taxpayer to actually amend those returns.",1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10050,,What penalty applies if a taxpayer fails to take their full Required Minimum Distribution (RMD)?,25% of the amount that should have been withdrawn,10% of the entire account balance,A flat $500 fine,"There is no penalty, only interest accrues",1,Retirement Accounts & Distributions,RMD Basics,Failing to take an RMD results in a 25% penalty on the amount that should have been withdrawn.,1,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10051,,Which retirement account type does NOT require RMDs during the original owner's lifetime?,Roth IRA,Traditional IRA,401(k),403(b),1,Retirement Accounts & Distributions,RMD Basics,"Roth IRAs have no RMD requirement during the original owner's lifetime, unlike Traditional IRAs, 401(k)s, and 403(b)s.",1,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10052,,"For RMD purposes, which account types allow the total calculated RMD to be withdrawn from just one account (aggregation)?","Traditional, SIMPLE, and SEP IRAs, and 403(b) plans",401(k) and 457(b) plans,Only Roth IRAs,None - every account requires a separate withdrawal,1,Retirement Accounts & Distributions,RMD Withdrawal Rules,"IRAs (Traditional, SIMPLE, SEP) and 403(b) plans allow aggregation once the total RMD is calculated. 401(k) and 457(b) plans require RMDs to be taken separately from each plan account.",0,3,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10053,,Which rollover triggers taxation because pre-tax funds are being converted to a Roth account?,401(k) to Roth IRA,401(k) to a new employer's 401(k),401(k) to a Traditional IRA,Traditional IRA to another Traditional IRA,1,Retirement Accounts & Distributions,Rollovers,Rolling a 401(k) into a Roth IRA is taxable because it converts pre-tax funds into an account with after-tax treatment; rollovers within the same tax treatment (401(k) to 401(k) or to a Traditional IRA) are tax-free.,1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10054,,What is the key difference between a direct and an indirect rollover?,"A direct rollover moves funds trustee-to-trustee with no withholding; an indirect rollover pays the owner directly, who then has 60 days to redeposit the funds, with 20% mandatorily withheld",A direct rollover always has 20% withheld; an indirect rollover never does,There is no difference in tax treatment between the two,A direct rollover requires Form 8606; an indirect rollover does not,1,Retirement Accounts & Distributions,Rollovers,"Direct rollovers move funds trustee-to-trustee with no withholding. Indirect rollovers pay the account owner directly, subject to mandatory 20% federal withholding, and the owner has 60 days to complete the rollover (needing other funds to replace the withheld amount for a full rollover).",1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10055,,"A taxpayer takes a $2,000 indirect rollover distribution from a qualified plan and receives a check for $1,600. Why isn't the check for the full $2,000?","A mandatory 20% federal withholding applies to indirect rollovers ($2,000 x 20% = $400 withheld)",A processing fee was deducted,A nonrefundable penalty was withheld,The trustee made an error,1,Retirement Accounts & Distributions,Rollovers,"Indirect rollover distributions are subject to mandatory 20% federal income tax withholding: $2,000 - $400 = $1,600.",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10056,,"Which Form 1099-R Box 7 distribution code is used to designate a direct rollover to a qualified plan, 403(b), governmental 457(b), or IRA?",Code G,Code 1,Code 2,Code 7,1,Retirement Accounts & Distributions,Form 1099-R Distribution Codes,"Code G designates a direct rollover of a distribution to a qualified plan, 403(b), governmental 457(b) plan, or IRA.",1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10057,,A Roth conversion done before age 59 1/2 is taxable but not subject to the 10% early distribution penalty. Which Box 7 code applies?,"Code 2 (early distribution, exception applies)","Code 1 (early distribution, no known exception)",Code 7 (normal distribution),"Code J (early Roth distribution, no known exception)",1,Retirement Accounts & Distributions,Form 1099-R Distribution Codes,"Code 2 is used when an early distribution exception applies, which commonly covers a Roth conversion completed before age 59 1/2.",0,3,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10058,,"Which Form 1099-R Box 7 code is used for distributions to a beneficiary of a decedent, regardless of the deceased participant's age?",Code 4 (Death),Code 3 (Disability),Code 7 (Normal distribution),"Code 8 (Excess contributions, current year)",1,Retirement Accounts & Distributions,Form 1099-R Distribution Codes,"Code 4 (Death) applies to distributions to a beneficiary of a decedent, including an estate or trust, regardless of the deceased's age.",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10059,,"What is the difference between Form 1099-R Box 7 Codes 8 and P, both used for excess contribution withdrawals?",Code 8 means the earnings are taxable in the current year; Code P means they are taxable in the prior year,Code 8 is for IRAs; Code P is for 401(k)s only,Code P applies only to Roth accounts,There is no difference - they are interchangeable,1,Retirement Accounts & Distributions,Form 1099-R Distribution Codes,"Both codes indicate a withdrawn excess contribution plus earnings; Code 8 taxes the earnings in the current year, while Code P taxes them in the prior year.",0,3,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10060,,"A 65-year-old, still working, withdraws $10,000 from her IRA. Why does she receive a Form 1099-R?","Any withdrawal from a retirement account generates a 1099-R, regardless of whether the person is retired",It signals she is being audited,It was issued in error since she is still working,Only withdrawals after full retirement trigger a 1099-R,1,Retirement Accounts & Distributions,Form 1099-R Requirements,"All retirement account withdrawals are reported on Form 1099-R, whether or not the account owner has actually retired.",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10061,,"A 65-year-old withdraws $10,000 from her IRA. Will she owe the 10% early withdrawal penalty?","No - she is over 59 1/2, so no penalty applies (though the withdrawal is still taxable as ordinary income)","Yes, because all withdrawals are penalized","Yes, unless she rolls it into another account",No penalty applies to any IRA withdrawal at any age,1,Retirement Accounts & Distributions,Form 1099-R Requirements,"The 10% early withdrawal penalty applies only to withdrawals before age 59 1/2 (absent an exception); after 59 1/2, withdrawals are simply taxable as ordinary income.",0,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10062,,Which of these does NOT generate a Form 1099-R?,A regular paycheck,An early distribution from a 401(k),A payout on a matured life insurance policy,Rolling over a 401(k) to an IRA,1,Retirement Accounts & Distributions,What Generates a 1099-R,"A regular paycheck does not require a 1099-R. Retirement distributions, rollovers, and matured life insurance/annuity payouts do.",0,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10063,,What determines the percentage of a taxpayer's Social Security benefits that is taxable?,"Total income (other income plus 50% of Social Security benefits), compared against IRS thresholds","A flat 15% of all benefits, always",Whether the recipient is over age 70,The state where the recipient lives,1,Retirement Accounts & Distributions,Social Security Taxability,"Provisional income (other income plus half of Social Security benefits) is compared to IRS thresholds to determine whether 0%, up to 50%, or up to 85% of benefits are taxable.",1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
