ID,Category,Subcategory,Difficulty,Mode,OrderIndex,ConceptTitle,Content,KeyPoints
21,Filing Basics & Dependents,Filing Status,Medium,Recovery,7,Qualifying Surviving Spouse,"Think of QSS as a soft landing after losing a spouse - for two years, if you're raising their child, the tax code lets you keep MFJ-level treatment even though you're now filing alone.",
22,Filing Basics & Dependents,Filing Status,Medium,Standard,8,Choosing the Most Favorable Status,"When a taxpayer qualifies for more than one filing status, the preparer should generally choose the one that results in the lowest tax, most often Head of Household over Single, or Married Filing Jointly over Married Filing Separately.",Compare eligible statuses for the best result|HOH usually beats Single when qualified|MFJ usually beats MFS|Eligibility rules must still be met exactly
23,Filing Basics & Dependents,Filing Status,Medium,Assessment,8,Choosing the Most Favorable Status,"When a scenario says a taxpayer qualifies for two statuses, the exam wants the one with the lower tax - but only if the taxpayer truly meets every requirement for it.",
24,Filing Basics & Dependents,Filing Status,Medium,Recovery,8,Choosing the Most Favorable Status,"Think of filing status like picking the best-priced lane at checkout - you always take the cheaper lane, but only if you actually qualify to stand in it.",
25,Filing Basics & Dependents,Filing Requirements,Medium,Standard,9,Who Must File a Return,"Whether a taxpayer must file a return depends on their gross income, filing status, age, and dependency status. The IRS publishes minimum income thresholds each year that trigger a filing requirement.","Based on gross income, filing status, age|Thresholds are published annually|Different thresholds for dependents|Filing isn't required below the threshold, but may still be beneficial"
26,Filing Basics & Dependents,Filing Requirements,Medium,Assessment,9,Who Must File a Return,"Filing requirement questions hinge on four factors: income, filing status, age, and dependency status. Missing any one of these changes the threshold.",
27,Filing Basics & Dependents,Filing Requirements,Medium,Recovery,9,Who Must File a Return,"Think of the filing requirement like a bar that moves depending on who you are - single versus married, under 65 versus 65-plus, dependent versus not. Clear the bar and you must file.",
28,Filing Basics & Dependents,Filing Requirements,Medium,Standard,10,Filing Thresholds by Status,"Each filing status has its own gross income threshold that triggers a filing requirement, and the threshold is generally close to the standard deduction for that status. Taxpayers 65 or older get a higher threshold.",Threshold roughly matches the standard deduction|Varies by filing status|Higher threshold at age 65+|Published annually by the IRS
29,Filing Basics & Dependents,Filing Requirements,Medium,Assessment,10,Filing Thresholds by Status,"The exam wants you to know the threshold tracks the standard deduction, and that being 65 or older raises it further.",
30,Filing Basics & Dependents,Filing Requirements,Medium,Recovery,10,Filing Thresholds by Status,Think of the filing threshold as roughly equal to your standard deduction - the IRS isn't going to make you file a return just to report income that would be wiped out by your own deduction anyway.,
31,Filing Basics & Dependents,Filing Requirements,Medium,Standard,11,Self-Employment Filing Threshold,"A taxpayer with net self-employment earnings of $400 or more must file a return and pay self-employment tax, even if their total income is below the regular filing threshold.",$400 net self-employment earnings triggers filing|Applies even below the normal income threshold|Self-employment tax is calculated on Schedule SE|Separate rule from the general filing threshold
32,Filing Basics & Dependents,Filing Requirements,Medium,Assessment,11,Self-Employment Filing Threshold,"This is the exception that trips people up: $400 of net self-employment income forces a filing requirement, even when regular income wouldn't.",
33,Filing Basics & Dependents,Filing Requirements,Medium,Recovery,11,Self-Employment Filing Threshold,"Think of self-employment income as having its own trip-wire set much lower than everyone else's - just $400 net earnings and you must file, no matter what your total income looks like.",
34,Filing Basics & Dependents,Filing Requirements,Hard,Standard,12,Dependents Who Must File,"A dependent must file their own return if their earned income, unearned income, or combined gross income exceeds specific limits that are lower than the limits for non-dependents. Both earned and unearned income thresholds apply, and the lower of the two triggers filing.","Dependents have their own, lower filing thresholds|Earned income and unearned income both have separate limits|Being claimed as a dependent doesn't remove the filing requirement|Applies even if the dependent owes no tax"
35,Filing Basics & Dependents,Filing Requirements,Hard,Assessment,12,Dependents Who Must File,"Dependent filing thresholds are much lower than regular thresholds, and there are separate limits for earned versus unearned income. Watch for both in a scenario.",
36,Filing Basics & Dependents,Filing Requirements,Hard,Recovery,12,Dependents Who Must File,"Think of a dependent's filing requirement as having two separate trip-wires - one for money they earned working, one for money like interest or dividends - and crossing either one means they have to file.",
37,Filing Basics & Dependents,Filing Requirements,Easy,Standard,13,Filing When Not Required,"A taxpayer below the filing threshold may still want to file to claim a refund of withheld taxes or to claim a refundable credit like the Earned Income Tax Credit, even though they aren't legally required to file.",Filing isn't required but can still be worthwhile|Claims back withheld taxes|Needed to claim refundable credits|No penalty for filing when not required
38,Filing Basics & Dependents,Filing Requirements,Easy,Assessment,13,Filing When Not Required,Remember: not being required to file doesn't mean you shouldn't. Withheld taxes and refundable credits only come back if a return is filed.,
39,Filing Basics & Dependents,Filing Requirements,Easy,Recovery,13,Filing When Not Required,"Think of it like leaving cash on the table - if taxes were withheld or a refundable credit is available, filing is the only way to actually collect what's owed to you.",
40,Filing Basics & Dependents,Filing Requirements,Hard,Standard,14,Nonresident Alien Filing Basics,"A nonresident alien with U.S. source income generally files Form 1040-NR rather than the standard Form 1040, and different rules apply to deductions, credits, and filing status.","Files Form 1040-NR, not Form 1040|Different deduction and credit rules apply|Based on U.S. source income|Residency tests determine resident vs. nonresident alien status"
41,Filing Basics & Dependents,Filing Requirements,Hard,Assessment,14,Nonresident Alien Filing Basics,"If a scenario mentions a nonresident alien, the form is 1040-NR, not the standard 1040 - and the deduction and credit rules aren't the same.",
42,Filing Basics & Dependents,Filing Requirements,Hard,Recovery,14,Nonresident Alien Filing Basics,"Think of Form 1040-NR as a completely different rulebook, built specifically for people who earn U.S. income without being U.S. tax residents.",
43,Filing Basics & Dependents,Qualifying Child Tests,Easy,Standard,15,Qualifying Child Overview,"A qualifying child is a dependent who meets specific relationship, age, residency, support, and joint return tests. Meeting all five tests is required, not just some of them.",Relationship test|Age test|Residency test|Support test|Joint return test
44,Filing Basics & Dependents,Qualifying Child Tests,Easy,Assessment,15,Qualifying Child Overview,Qualifying child questions always come back to the same five tests. Missing even one test means the person doesn't qualify as a qualifying child.,
45,Filing Basics & Dependents,Qualifying Child Tests,Easy,Recovery,15,Qualifying Child Overview,"Think of the five qualifying child tests as five locks on one door - you need every single key to open it, not just most of them.",
46,Filing Basics & Dependents,Qualifying Child Tests,Easy,Standard,16,Relationship Test for a Qualifying Child,"The relationship test requires the child to be the taxpayer's son, daughter, stepchild, foster child, sibling, stepsibling, or a descendant of any of them, such as a grandchild, niece, or nephew.","Son, daughter, stepchild, or foster child|Sibling or stepsibling|Descendants of these relationships qualify too|Unrelated children don't meet this test"
47,Filing Basics & Dependents,Qualifying Child Tests,Easy,Assessment,16,Relationship Test for a Qualifying Child,"The relationship test is about the family tree - direct descendants, siblings, and their descendants all count. An unrelated child never passes this test.",
48,Filing Basics & Dependents,Qualifying Child Tests,Easy,Recovery,16,Relationship Test for a Qualifying Child,"Picture drawing a family tree - kids, grandkids, siblings, nieces and nephews are all on it. If the child isn't somewhere on that tree, the relationship test fails.",
49,Filing Basics & Dependents,Qualifying Child Tests,Medium,Standard,17,Age Test for a Qualifying Child,"The age test requires the child to be under 19 at year-end, under 24 if a full-time student, or any age if permanently and totally disabled. The child must also be younger than the taxpayer claiming them (except when disabled).","Under 19, or under 24 if a full-time student|Any age if permanently and totally disabled|Must be younger than the taxpayer (except if disabled)|Full-time student has its own definition"
50,Filing Basics & Dependents,Qualifying Child Tests,Medium,Assessment,17,Age Test for a Qualifying Child,"The age test has three thresholds: 19, 24 for students, and no limit for disability. The exam often tests the student exception specifically.",
51,Filing Basics & Dependents,Qualifying Child Tests,Medium,Recovery,17,Age Test for a Qualifying Child,"Think of the age test like three different finish lines - a regular kid stops qualifying at 19, a full-time student gets to run until 24, and a disabled dependent never hits a finish line at all.",
52,Filing Basics & Dependents,Qualifying Child Tests,Medium,Standard,18,Residency Test for a Qualifying Child,"The residency test requires the child to have lived with the taxpayer for more than half the year. Temporary absences for school, medical care, vacation, or military service still count as time lived at home.","Must live with taxpayer more than half the year|Temporary absences still count as time at home|School, medical care, and military service are common exceptions|A child born or who died during the year can still meet this test"
53,Filing Basics & Dependents,Qualifying Child Tests,Medium,Assessment,18,Residency Test for a Qualifying Child,The exam tests the temporary absence exception constantly - a kid away at college is still treated as living at home for this test.,
54,Filing Basics & Dependents,Qualifying Child Tests,Medium,Recovery,18,Residency Test for a Qualifying Child,"Think of temporary absences like a pause button, not a stop button. The clock of 'living at home' keeps running even while a kid is away at school or in the hospital.",
55,Filing Basics & Dependents,Qualifying Child Tests,Medium,Standard,19,Support Test for a Qualifying Child,"The support test for a qualifying child requires that the child did not provide more than half of their own support for the year. Unlike the qualifying relative test, it doesn't matter how much support the taxpayer themselves provided.",Child must not have provided more than half of own support|Doesn't require the taxpayer to have provided the support|Scholarships are excluded when a full-time student is involved|Different from the qualifying relative support test
56,Filing Basics & Dependents,Qualifying Child Tests,Medium,Assessment,19,Support Test for a Qualifying Child,"This is the test people flip backwards. For a qualifying child, ask if the CHILD supported themselves - not whether the taxpayer paid for everything.",
57,Filing Basics & Dependents,Qualifying Child Tests,Medium,Recovery,19,Support Test for a Qualifying Child,Think of it this way: a qualifying child just can't be paying their own way through life. It doesn't matter if grandma paid half the bills - what matters is the kid didn't pay more than half.,
58,Filing Basics & Dependents,Qualifying Child Tests,Medium,Standard,20,Joint Return Test,"A qualifying child generally cannot file a joint return with a spouse for the year, unless that joint return was filed only to claim a refund and no tax liability would exist for either spouse if filing separately.","Filing jointly usually disqualifies a child as a dependent|Exception: joint return filed only to claim a refund|No tax liability for either spouse on separate returns|Rare exception, not the general rule"
59,Filing Basics & Dependents,Qualifying Child Tests,Medium,Assessment,20,Joint Return Test,The joint return test trips people up on the exception. A married teenager filing jointly ONLY to get a refund - with no real tax liability - can still be a qualifying child.,
60,Filing Basics & Dependents,Qualifying Child Tests,Medium,Recovery,20,Joint Return Test,"Think of the refund-only exception as a narrow loophole, not a general rule. If a married dependent files jointly just to collect withholding back, it usually doesn't break their dependent status.",
61,Filing Basics & Dependents,Qualifying Child Tests,Hard,Standard,21,Tie-Breaker Rules for a Qualifying Child,"When a child meets the tests for more than one taxpayer, tie-breaker rules decide who claims the child: a parent wins over a non-parent, and between two parents, the one the child lived with longer wins, or if equal, the parent with the higher AGI.","A parent beats a non-parent claimant|Between two parents, longer residency wins|If residency is equal, higher AGI wins|Applies when more than one person could claim the same child"
62,Filing Basics & Dependents,Qualifying Child Tests,Hard,Assessment,21,Tie-Breaker Rules for a Qualifying Child,"Tie-breaker questions always follow the same order: parent beats non-parent, longer residency wins between parents, and higher AGI breaks a residency tie.",
63,Filing Basics & Dependents,Qualifying Child Tests,Hard,Recovery,21,Tie-Breaker Rules for a Qualifying Child,Picture a simple flowchart: is a parent involved? Parent wins. Two parents? Whoever the kid lived with more wins. Dead even? Whoever earned more wins.,
64,Filing Basics & Dependents,Qualifying Child Tests,Medium,Standard,22,Qualifying Child vs. Qualifying Relative,"A qualifying child and a qualifying relative are two different paths to claiming a dependent. A qualifying child relies on relationship, age, and residency, while a qualifying relative relies on a broader relationship or household test plus a gross income limit.","Two separate sets of tests for dependency|Qualifying child: age and residency driven|Qualifying relative: income limit driven|A person can only be claimed under one category, not both"
65,Filing Basics & Dependents,Qualifying Child Tests,Medium,Assessment,22,Qualifying Child vs. Qualifying Relative,"If a question gives you an age and a living arrangement, think qualifying child. If it gives you an income number, think qualifying relative.",
66,Filing Basics & Dependents,Qualifying Child Tests,Medium,Recovery,22,Qualifying Child vs. Qualifying Relative,Think of these as two different doors into the same room called 'dependent.' A young relative living with you walks through the qualifying child door; an older relative you support financially walks through the qualifying relative door.,
67,Filing Basics & Dependents,Qualifying Relative Tests,Medium,Standard,23,Qualifying Relative Overview,"A qualifying relative is a dependent who doesn't meet the qualifying child tests but meets a relationship or household test, a gross income test, and a support test.",Used when someone doesn't qualify as a qualifying child|Relationship or household member test|Gross income test|Support test
68,Filing Basics & Dependents,Qualifying Relative Tests,Medium,Assessment,23,Qualifying Relative Overview,"Qualifying relative has three tests to remember: relationship or household membership, gross income under the limit, and majority support from the taxpayer.",
69,Filing Basics & Dependents,Qualifying Relative Tests,Medium,Recovery,23,Qualifying Relative Overview,"Think of qualifying relative as the backup category - when someone can't get in through the qualifying child door because of age or residency, this is the second door, with its own three-lock combination.",
70,Filing Basics & Dependents,Qualifying Relative Tests,Medium,Standard,24,Gross Income Test for a Qualifying Relative,"A qualifying relative's gross income for the year must be below the annually adjusted exemption amount. If the person's income exceeds that limit, they cannot be claimed as a qualifying relative regardless of how much support the taxpayer provided.",Gross income must be below the annual limit|Limit is set and adjusted each year|Exceeding the limit disqualifies them entirely|Applies regardless of support level
71,Filing Basics & Dependents,Qualifying Relative Tests,Medium,Assessment,24,Gross Income Test for a Qualifying Relative,"No matter how much support was provided, going even one dollar over the gross income limit disqualifies a qualifying relative completely.",
72,Filing Basics & Dependents,Qualifying Relative Tests,Medium,Recovery,24,Gross Income Test for a Qualifying Relative,"Think of the gross income limit as a hard ceiling, not a guideline. Go over it by even a little, and the qualifying relative claim collapses no matter what else is true.",
73,Filing Basics & Dependents,Qualifying Relative Tests,Hard,Standard,25,Support Test for a Qualifying Relative,"The taxpayer must provide more than half of the qualifying relative's total support for the year. This is the opposite emphasis from the qualifying child support test, which looks at whether the child supported themselves.","Taxpayer must provide more than half of total support|Different focus than the qualifying child support test|Support includes housing, food, medical care, and more|Reverse of the qualifying child support logic"
74,Filing Basics & Dependents,Qualifying Relative Tests,Hard,Assessment,25,Support Test for a Qualifying Relative,"Flip the logic here from the qualifying child test: for a qualifying relative, it's about whether the TAXPAYER provided more than half of the support.",
75,Filing Basics & Dependents,Qualifying Relative Tests,Hard,Recovery,25,Support Test for a Qualifying Relative,"Think of it as a mirror image of the qualifying child support test - there, you ask if the dependent paid their own way; here, you ask if the taxpayer paid most of someone else's way.",
76,Filing Basics & Dependents,Qualifying Relative Tests,Medium,Standard,26,Relationship or Household Test for a Qualifying Relative,"A qualifying relative must either be related to the taxpayer in a specific way (like a parent, sibling, or in-law) or have lived with the taxpayer as a member of the household for the entire year.",Certain relatives qualify without living together|Unrelated people must live in the home all year|A temporary house guest generally doesn't qualify|Some relationships never qualify even living together
77,Filing Basics & Dependents,Qualifying Relative Tests,Medium,Assessment,26,Relationship or Household Test for a Qualifying Relative,"This test has two doors in: certain relatives qualify no matter where they live, while anyone else must have lived in the home for the full year.",
78,Filing Basics & Dependents,Qualifying Relative Tests,Medium,Recovery,26,Relationship or Household Test for a Qualifying Relative,Think of close relatives like parents and siblings as having a permanent pass - they don't need to live with you. Everyone else needs a full year's residency stamp on that pass.,
79,Filing Basics & Dependents,Qualifying Relative Tests,Hard,Standard,27,Multiple Support Agreements,"When no single person provides more than half of someone's support, but a group together provides more than half, a Multiple Support Agreement lets one member who contributed more than 10% claim the dependent, as long as the others agree not to.",Used when no one person provides over half of support|Group must together provide more than half|Claiming member must contribute more than 10%|Other qualifying contributors must sign Form 2120
80,Filing Basics & Dependents,Qualifying Relative Tests,Hard,Assessment,27,Multiple Support Agreements,Multiple support questions always involve siblings splitting a parent's care. Remember the 10% threshold and Form 2120 to make it official.,
81,Filing Basics & Dependents,Qualifying Relative Tests,Hard,Recovery,27,Multiple Support Agreements,"Picture several siblings each chipping in for mom's expenses, with no one covering more than half alone. As long as one sibling contributed over 10% and the others sign off on Form 2120, that sibling can claim mom.",
82,Filing Basics & Dependents,Qualifying Relative Tests,Medium,Standard,28,Not a Qualifying Child of Another Taxpayer,"A person cannot be claimed as a taxpayer's qualifying relative if that person is already a qualifying child of any other taxpayer for the year, even if that other taxpayer doesn't actually claim them.",Being a potential qualifying child elsewhere blocks qualifying relative status|Applies even if the other taxpayer doesn't claim them|Prevents overlapping dependency claims|One of the required qualifying relative tests
83,Filing Basics & Dependents,Qualifying Relative Tests,Medium,Assessment,28,Not a Qualifying Child of Another Taxpayer,"The exam tests this exact trap: even if nobody actually claims a child, being ELIGIBLE as someone else's qualifying child blocks a qualifying relative claim by anyone else.",
84,Filing Basics & Dependents,Qualifying Relative Tests,Medium,Recovery,28,Not a Qualifying Child of Another Taxpayer,"Think of it like a reserved parking spot - even if the reserved car never shows up, nobody else can park there. If a person could be someone's qualifying child, no one else can claim them as a qualifying relative.",
85,Filing Basics & Dependents,Dependency Rules & Special Situations,Hard,Standard,29,Divorced or Separated Parents,"When parents are divorced or separated, the custodial parent - the one the child lived with for more nights during the year - is generally entitled to claim the child, regardless of who provides more financial support.",Custodial parent = more nights during the year|Support level doesn't determine custody for this purpose|Custodial parent can release the claim to the noncustodial parent|Applies specifically to divorced or legally separated parents
86,Filing Basics & Dependents,Dependency Rules & Special Situations,Hard,Assessment,29,Divorced or Separated Parents,"For divorced parents, the exam wants nights, not dollars. Whoever the child slept at more often is the custodial parent, and that's who claims the child by default.",
87,Filing Basics & Dependents,Dependency Rules & Special Situations,Hard,Recovery,29,Divorced or Separated Parents,"Think of it as a simple overnight count - not a spending tally. Count up the nights each parent had the child, and whoever wins that count is the default claimant.",
88,Filing Basics & Dependents,Dependency Rules & Special Situations,Medium,Standard,30,Form 8332 Release of Claim,"Form 8332 lets a custodial parent formally release their claim to a child's dependency exemption and Child Tax Credit, allowing the noncustodial parent to claim the child instead.",Signed by the custodial parent|Allows the noncustodial parent to claim the child|Can be for one year or multiple years|Attached to the noncustodial parent's return
89,Filing Basics & Dependents,Dependency Rules & Special Situations,Medium,Assessment,30,Form 8332 Release of Claim,"Form 8332 is the one document that flips the default rule - without it, the noncustodial parent can't claim the child even with a divorce decree that says otherwise.",
90,Filing Basics & Dependents,Dependency Rules & Special Situations,Medium,Recovery,30,Form 8332 Release of Claim,"Think of Form 8332 as a signed permission slip. The custodial parent hands it over, and only then can the noncustodial parent legally step in and claim the child.",
91,Filing Basics & Dependents,Dependency Rules & Special Situations,Easy,Standard,31,Claiming a Dependent Who Files Their Own Return,"A taxpayer can still be claimed as someone else's dependent even if they file their own tax return, but on their own return they must indicate that someone else can claim them as a dependent.",Being claimed doesn't prevent the dependent from filing|The dependent's own return must note they can be claimed|Affects the dependent's own standard deduction|Common for working students claimed by parents
92,Filing Basics & Dependents,Dependency Rules & Special Situations,Easy,Assessment,31,Claiming a Dependent Who Files Their Own Return,Being someone's dependent and filing your own return aren't mutually exclusive - the dependent just has to check the right box saying they can be claimed.,
93,Filing Basics & Dependents,Dependency Rules & Special Situations,Easy,Recovery,31,Claiming a Dependent Who Files Their Own Return,"Think of a college student with a part-time job - they can absolutely file their own return, but they still have to flag on it that mom and dad can claim them too.",
94,Filing Basics & Dependents,Dependency Rules & Special Situations,Hard,Standard,32,Kiddie Tax Basics,"The kiddie tax applies a parent's higher marginal tax rate to a child's unearned income above a certain threshold, preventing families from shifting investment income to a child's lower tax bracket.",Applies to a child's unearned income above a threshold|Taxed at the parent's marginal rate instead of the child's|Designed to prevent income-shifting|Reported using Form 8615 in many cases
95,Filing Basics & Dependents,Dependency Rules & Special Situations,Hard,Assessment,32,Kiddie Tax Basics,"The kiddie tax question always centers on unearned income - think interest, dividends, and capital gains - not wages from a summer job.",
96,Filing Basics & Dependents,Dependency Rules & Special Situations,Hard,Recovery,32,Kiddie Tax Basics,"Think of the kiddie tax as closing a loophole: parents used to put investments in a kid's name to get a lower tax rate, so the law now taxes that unearned income at the parent's rate instead.",
97,Filing Basics & Dependents,Dependency Rules & Special Situations,Medium,Standard,33,Consequences of a Dependent Claimed Incorrectly,"When two taxpayers claim the same dependent, the IRS will reject the second e-filed return and require paper filing, and ultimately only the taxpayer who meets the dependency tests is entitled to keep the claim.",Duplicate claims trigger e-file rejection|Second filer must paper file|IRS resolves based on who actually meets the tests|Incorrect claims can be reversed and penalized
98,Filing Basics & Dependents,Dependency Rules & Special Situations,Medium,Assessment,33,Consequences of a Dependent Claimed Incorrectly,"A duplicate dependent claim doesn't get worked out by whoever files first - the IRS eventually looks at who actually meets the tests, and the loser can face penalties.",
99,Filing Basics & Dependents,Dependency Rules & Special Situations,Medium,Recovery,33,Consequences of a Dependent Claimed Incorrectly,"Think of e-filing like a single ticket window - the first claim through gets processed, but the second gets bounced back to paper, and eventually the IRS sorts out who really qualifies.",
100,Filing Basics & Dependents,Dependency Rules & Special Situations,Medium,Standard,34,Dependents and Credit Eligibility,"Claiming a dependent correctly is often the gateway to major credits, including the Child Tax Credit, the Credit for Other Dependents, the Child and Dependent Care Credit, and Head of Household filing status.",Child Tax Credit requires a qualifying child dependent|Credit for Other Dependents covers other dependents|Child and Dependent Care Credit requires a qualifying dependent|HOH status often depends on having a qualifying dependent
101,Filing Basics & Dependents,Dependency Rules & Special Situations,Medium,Assessment,34,Dependents and Credit Eligibility,"Whenever a question mentions the Child Tax Credit, dependent care costs, or Head of Household, check the dependency rules first - they're the gateway to all of it.",
102,Filing Basics & Dependents,Dependency Rules & Special Situations,Medium,Recovery,34,Dependents and Credit Eligibility,"Think of a qualifying dependent as a key that unlocks several doors at once: credits, filing status, and deductions can all hinge on getting this one determination right.",
103,Filing Basics & Dependents,Personal Information & Filing Basics,Easy,Standard,35,SSN and ITIN Requirements,"Every taxpayer and dependent listed on a return needs a valid Social Security Number or Individual Taxpayer Identification Number. Some credits, like the Child Tax Credit, require a Social Security Number specifically.","SSN or ITIN required for taxpayers and dependents|Some credits require an SSN specifically, not an ITIN|ITINs are issued to those ineligible for an SSN|Missing or mismatched numbers can delay a refund"
104,Filing Basics & Dependents,Personal Information & Filing Basics,Easy,Assessment,35,SSN and ITIN Requirements,"Watch for questions where a dependent only has an ITIN - that can block certain credits like the Child Tax Credit, which specifically requires a Social Security Number.",
105,Filing Basics & Dependents,Personal Information & Filing Basics,Easy,Recovery,35,SSN and ITIN Requirements,"Think of an ITIN as a tax-only ID, not a full-access pass - it lets someone be listed on a return, but some credits still specifically require the real thing: a Social Security Number.",
106,Filing Basics & Dependents,Personal Information & Filing Basics,Easy,Standard,36,Name and SSN Matching,"The name and Social Security Number on a return must match Social Security Administration records exactly, or the return can be rejected or processed with errors, especially after a legal name change.",Name and SSN must match SSA records|Mismatches can cause rejection or delays|Common after marriage or divorce name changes|Update with the SSA before filing if a mismatch is likely
107,Filing Basics & Dependents,Personal Information & Filing Basics,Easy,Assessment,36,Name and SSN Matching,Name-SSN mismatch questions almost always involve a recent marriage or divorce name change that wasn't updated with the SSA first.,
108,Filing Basics & Dependents,Personal Information & Filing Basics,Easy,Recovery,36,Name and SSN Matching,"Think of the SSA's records as the master list the IRS checks against - if your name on the return doesn't match that master list exactly, the system flags it before anything else gets processed.",
109,Filing Basics & Dependents,Personal Information & Filing Basics,Easy,Standard,37,Signing the Return,"A tax return must be signed by the taxpayer, and by both spouses if filing jointly, either with a physical signature on a paper return or an electronic signature via a PIN or prior-year AGI verification for e-filing.",Both spouses must sign a joint return|Physical signature on paper returns|Electronic signature via PIN or prior-year AGI for e-file|An unsigned paper return is not considered filed
110,Filing Basics & Dependents,Personal Information & Filing Basics,Easy,Assessment,37,Signing the Return,"Joint returns need both signatures, whether on paper or the electronic equivalent - one spouse signing alone doesn't make it a valid joint return.",
