ID,Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer,Term
11,What is Form W-4?,"A fixed dollar amount that reduces taxable income, available to every filer based on filing status.",Adjusted Gross Income — gross income minus adjustments; the starting point for taxable income and eligibility for many credits.,The form an employee gives their employer to determine how much tax to withhold from each paycheck.,"All taxable income received in money, goods, property, or services, before any deductions.",3,Form W-4
12,What is Form 1098?,"An additional tax, commonly 10%, for taking retirement funds out before the account's minimum age — on top of any regular income tax owed.","All taxable income received in money, goods, property, or services, before any deductions.","A dependent who meets age, relationship, residency, and support tests — generally under 19, or under 24 if a full-time student.","Reports mortgage interest, tuition, or student loan interest paid during the year, depending on the version. Mortgage interest typically feeds Schedule A; tuition or student loan interest versions feed education credits or the student loan interest deduction on Schedule 1, line 21.",4,Form 1098
13,What is Filing Status?,"Determines your tax rates and standard deduction. The five statuses are Single, Married Filing Jointly, Married Filing Separately, Head of Household, and Qualifying Surviving Spouse.","The form an employer issues reporting wages paid and taxes withheld for an employee. Box 1 wages feed Form 1040, line 1a; withholding feeds line 25a.",Earned Income Tax Credit — a refundable credit for low-to-moderate-income working individuals and families.,The form an employee gives their employer to determine how much tax to withhold from each paycheck.,1,Filing Status
14,What is Dependent?,"The tax rate applied to your next dollar of income, based on which tax bracket it falls into.",A filing status for an unmarried taxpayer who pays more than half the cost of keeping up a home for a qualifying person.,A retirement account funded with after-tax contributions; qualified withdrawals are tax-free.,"A qualifying child or qualifying relative you can claim, which can unlock certain credits and filing statuses.",4,Dependent
15,What is Qualifying Child?,"An above-the-line deduction for interest paid on qualified student loans, subject to income limits.",A retirement account funded with after-tax contributions; qualified withdrawals are tax-free.,"All taxable income received in money, goods, property, or services, before any deductions.","A dependent who meets age, relationship, residency, and support tests — generally under 19, or under 24 if a full-time student.",4,Qualifying Child
16,What is Head of Household?,"A deduction subtracted before arriving at AGI, available even if you don't itemize.","A qualifying child or qualifying relative you can claim, which can unlock certain credits and filing statuses.",A filing status for an unmarried taxpayer who pays more than half the cost of keeping up a home for a qualifying person.,"An above-the-line deduction for interest paid on qualified student loans, subject to income limits.",3,Head of Household
17,What is W-2?,"The form an employer issues reporting wages paid and taxes withheld for an employee. Box 1 wages feed Form 1040, line 1a; withholding feeds line 25a.","Calculates the self-employment tax owed on net earnings from self-employment. The tax carries to Schedule 2, line 4, and the deduction for half of it carries to Schedule 1, line 15.","The tax rate applied to your next dollar of income, based on which tax bracket it falls into.",A filing status for an unmarried taxpayer who pays more than half the cost of keeping up a home for a qualifying person.,1,W-2
18,What is 1099?,"An above-the-line deduction for interest paid on qualified student loans, subject to income limits.","Specific expenses — like IRA contributions or student loan interest — subtracted from gross income to arrive at AGI, available whether or not you itemize.","A family of forms reporting income paid to a non-employee — freelance pay, interest, dividends, and more. Which 1040 line depends on the type — for example 1099-INT feeds line 2b and 1099-DIV feeds line 3b — and any withholding shown feeds line 25b.",A taxpayer taxed by a state on all their income because that state is their permanent home (domicile).,3,1099
19,What is Gross Income?,"Reports capital gains and losses from selling investments or property. The result carries to Form 1040, line 7a.","All taxable income received in money, goods, property, or services, before any deductions.","Reports additional credits and payments not entered directly on Form 1040, like education credits or estimated tax payments. Nonrefundable credits on line 8 flow to Form 1040, line 20; other payments and refundable credits on line 15 flow to Form 1040, line 31.","Reports interest and dividend income over the IRS threshold that requires it to be itemized. That interest and dividend income feed Form 1040, lines 2b and 3b.",2,Gross Income
20,What is Earned Income?,"Income from working — wages, salaries, tips, self-employment — as opposed to investment income.","A taxpayer who earned income in a state without living there, typically owing tax only on income sourced to that state.",High-Deductible Health Plan — the type of health insurance required to be HSA-eligible.,"Used to itemize deductions instead of taking the standard deduction. The total on Schedule A, line 17, carries to Form 1040, line 12e.",1,Earned Income
21,What is Traditional IRA?,"A credit that can reduce your tax bill below zero and be paid out as a refund, like the Earned Income Tax Credit.","The tax rate applied to your next dollar of income, based on which tax bracket it falls into.","The form an employer issues reporting wages paid and taxes withheld for an employee. Box 1 wages feed Form 1040, line 1a; withholding feeds line 25a.",A retirement account funded with pre-tax (often deductible) contributions; withdrawals are taxed as ordinary income.,4,Traditional IRA
22,What is Roth IRA?,Required Minimum Distribution — the minimum amount an account owner must withdraw annually from most retirement accounts starting at a certain age.,"A family of forms reporting income paid to a non-employee — freelance pay, interest, dividends, and more. Which 1040 line depends on the type — for example 1099-INT feeds line 2b and 1099-DIV feeds line 3b — and any withholding shown feeds line 25b.",Earned Income Tax Credit — a refundable credit for low-to-moderate-income working individuals and families.,A retirement account funded with after-tax contributions; qualified withdrawals are tax-free.,4,Roth IRA
23,What is RMD?,The form an employee gives their employer to determine how much tax to withhold from each paycheck.,Required Minimum Distribution — the minimum amount an account owner must withdraw annually from most retirement accounts starting at a certain age.,The main federal individual income tax return — everything else ultimately feeds into it.,"A fixed dollar amount that reduces taxable income, available to every filer based on filing status.",2,RMD
24,What is Early Withdrawal Penalty?,"Reports profit or loss from a sole proprietorship or self-employment activity. Net profit or loss carries to Schedule 1, line 3, which flows into Form 1040, line 8.","Income from working — wages, salaries, tips, self-employment — as opposed to investment income.","An additional tax, commonly 10%, for taking retirement funds out before the account's minimum age — on top of any regular income tax owed.",A dollar-for-dollar reduction of tax owed — more valuable than a deduction of the same size.,3,Early Withdrawal Penalty
25,What is Adjustments to Income?,"A credit that can reduce your tax bill below zero and be paid out as a refund, like the Earned Income Tax Credit.",The form an employee gives their employer to determine how much tax to withhold from each paycheck.,Earned Income Tax Credit — a refundable credit for low-to-moderate-income working individuals and families.,"Specific expenses — like IRA contributions or student loan interest — subtracted from gross income to arrive at AGI, available whether or not you itemize.",4,Adjustments to Income
26,What is AGI?,"Reports capital gains and losses from selling investments or property. The result carries to Form 1040, line 7a.",Adjusted Gross Income — gross income minus adjustments; the starting point for taxable income and eligibility for many credits.,"A deduction subtracted before arriving at AGI, available even if you don't itemize.","Reports additional income (like unemployment or business income) and adjustments to income (like student loan interest or an IRA deduction). Additional income totals on Schedule 1, line 10, flow to Form 1040, line 8; adjustments total on line 26 flow to Form 1040, line 10.",2,AGI
27,What is Student Loan Interest Deduction?,A filing status for an unmarried taxpayer who pays more than half the cost of keeping up a home for a qualifying person.,"Reports additional credits and payments not entered directly on Form 1040, like education credits or estimated tax payments. Nonrefundable credits on line 8 flow to Form 1040, line 20; other payments and refundable credits on line 15 flow to Form 1040, line 31.",Your total tax divided by your total income — the average rate you actually pay.,"An above-the-line deduction for interest paid on qualified student loans, subject to income limits.",4,Student Loan Interest Deduction
28,What is HSA?,"A tax-advantaged account for medical expenses, available to people enrolled in a qualifying high-deductible health plan. Contributions, growth, and qualified withdrawals are all tax-free.","Calculates the self-employment tax owed on net earnings from self-employment. The tax carries to Schedule 2, line 4, and the deduction for half of it carries to Schedule 1, line 15.",Earned Income Tax Credit — a refundable credit for low-to-moderate-income working individuals and families.,"Used to itemize deductions instead of taking the standard deduction. The total on Schedule A, line 17, carries to Form 1040, line 12e.",1,HSA
29,What is HDHP?,"The tax rate applied to your next dollar of income, based on which tax bracket it falls into.",The form an employee gives their employer to determine how much tax to withhold from each paycheck.,High-Deductible Health Plan — the type of health insurance required to be HSA-eligible.,"The form an employer issues reporting wages paid and taxes withheld for an employee. Box 1 wages feed Form 1040, line 1a; withholding feeds line 25a.",3,HDHP
30,What is FSA?,"An employer-sponsored account for medical or dependent-care expenses, funded pre-tax but generally ""use it or lose it"" each year.","Income from working — wages, salaries, tips, self-employment — as opposed to investment income.",Adjusted Gross Income — gross income minus adjustments; the starting point for taxable income and eligibility for many credits.,"An additional tax, commonly 10%, for taking retirement funds out before the account's minimum age — on top of any regular income tax owed.",1,FSA
31,What is Standard Deduction?,A filing status for an unmarried taxpayer who pays more than half the cost of keeping up a home for a qualifying person.,"A dependent who meets age, relationship, residency, and support tests — generally under 19, or under 24 if a full-time student.","Reports capital gains and losses from selling investments or property. The result carries to Form 1040, line 7a.","A fixed dollar amount that reduces taxable income, available to every filer based on filing status.",4,Standard Deduction
32,What is Itemized Deduction?,"A dependent who meets age, relationship, residency, and support tests — generally under 19, or under 24 if a full-time student.","The tax rate applied to your next dollar of income, based on which tax bracket it falls into.","Specific deductible expenses — mortgage interest, state and local taxes, charitable gifts, and more — claimed instead of the standard deduction when they add up to more.",A taxpayer taxed by a state on all their income because that state is their permanent home (domicile).,3,Itemized Deduction
33,What is Above-the-Line Deduction?,"A dependent who meets age, relationship, residency, and support tests — generally under 19, or under 24 if a full-time student.","Used to itemize deductions instead of taking the standard deduction. The total on Schedule A, line 17, carries to Form 1040, line 12e.","Reports additional credits and payments not entered directly on Form 1040, like education credits or estimated tax payments. Nonrefundable credits on line 8 flow to Form 1040, line 20; other payments and refundable credits on line 15 flow to Form 1040, line 31.","A deduction subtracted before arriving at AGI, available even if you don't itemize.",4,Above-the-Line Deduction
34,What is Tax Credit?,"A deduction subtracted before arriving at AGI, available even if you don't itemize.",A filing status for an unmarried taxpayer who pays more than half the cost of keeping up a home for a qualifying person.,A dollar-for-dollar reduction of tax owed — more valuable than a deduction of the same size.,"A family of forms reporting income paid to a non-employee — freelance pay, interest, dividends, and more. Which 1040 line depends on the type — for example 1099-INT feeds line 2b and 1099-DIV feeds line 3b — and any withholding shown feeds line 25b.",3,Tax Credit
35,What is Refundable Credit?,"A fixed dollar amount that reduces taxable income, available to every filer based on filing status.","A credit that can reduce your tax bill below zero and be paid out as a refund, like the Earned Income Tax Credit.",Your total tax divided by your total income — the average rate you actually pay.,A filing status for an unmarried taxpayer who pays more than half the cost of keeping up a home for a qualifying person.,2,Refundable Credit
36,What is EITC?,Earned Income Tax Credit — a refundable credit for low-to-moderate-income working individuals and families.,"A tax-advantaged account for medical expenses, available to people enrolled in a qualifying high-deductible health plan. Contributions, growth, and qualified withdrawals are all tax-free.","Reports profit or loss from a sole proprietorship or self-employment activity. Net profit or loss carries to Schedule 1, line 3, which flows into Form 1040, line 8.",Required Minimum Distribution — the minimum amount an account owner must withdraw annually from most retirement accounts starting at a certain age.,1,EITC
37,What is Marginal Tax Rate?,"Reports additional credits and payments not entered directly on Form 1040, like education credits or estimated tax payments. Nonrefundable credits on line 8 flow to Form 1040, line 20; other payments and refundable credits on line 15 flow to Form 1040, line 31.",Adjusted Gross Income — gross income minus adjustments; the starting point for taxable income and eligibility for many credits.,"The tax rate applied to your next dollar of income, based on which tax bracket it falls into.","Reports profit or loss from a sole proprietorship or self-employment activity. Net profit or loss carries to Schedule 1, line 3, which flows into Form 1040, line 8.",3,Marginal Tax Rate
38,What is Effective Tax Rate?,"A credit that can reduce your tax bill below zero and be paid out as a refund, like the Earned Income Tax Credit.",Your total tax divided by your total income — the average rate you actually pay.,High-Deductible Health Plan — the type of health insurance required to be HSA-eligible.,"Determines your tax rates and standard deduction. The five statuses are Single, Married Filing Jointly, Married Filing Separately, Head of Household, and Qualifying Surviving Spouse.",2,Effective Tax Rate
39,What is Resident?,"An employer-sponsored account for medical or dependent-care expenses, funded pre-tax but generally ""use it or lose it"" each year.",A filing status for an unmarried taxpayer who pays more than half the cost of keeping up a home for a qualifying person.,"A family of forms reporting income paid to a non-employee — freelance pay, interest, dividends, and more. Which 1040 line depends on the type — for example 1099-INT feeds line 2b and 1099-DIV feeds line 3b — and any withholding shown feeds line 25b.",A taxpayer taxed by a state on all their income because that state is their permanent home (domicile).,4,Resident
40,What is Nonresident?,"Reports additional credits and payments not entered directly on Form 1040, like education credits or estimated tax payments. Nonrefundable credits on line 8 flow to Form 1040, line 20; other payments and refundable credits on line 15 flow to Form 1040, line 31.","A credit that can reduce your tax bill below zero and be paid out as a refund, like the Earned Income Tax Credit.",The main federal individual income tax return — everything else ultimately feeds into it.,"A taxpayer who earned income in a state without living there, typically owing tax only on income sourced to that state.",4,Nonresident
41,What is Part-Year Resident?,"Specific deductible expenses — mortgage interest, state and local taxes, charitable gifts, and more — claimed instead of the standard deduction when they add up to more.",A taxpayer who moved into or out of a state during the year and files as a resident for only part of it.,"A fixed dollar amount that reduces taxable income, available to every filer based on filing status.","An above-the-line deduction for interest paid on qualified student loans, subject to income limits.",2,Part-Year Resident
