ID,Category,Fact
70,Tax Credits & Calculations,The American Opportunity Credit covers qualified education expenses for the first four years of postsecondary education.
71,Tax Credits & Calculations,"The Lifetime Learning Credit has no limit on the number of years it can be claimed, unlike the American Opportunity Credit."
72,Tax Credits & Calculations,The Saver's Credit rewards lower-income taxpayers for contributing to a retirement account.
73,Tax Credits & Calculations,The Credit for Other Dependents applies to dependents who don't qualify for the Child Tax Credit.
74,Tax Credits & Calculations,Married Filing Separately status disqualifies a taxpayer from several major credits.
75,Tax Credits & Calculations,"Tax is calculated using either the tax tables or the tax computation worksheet, depending on taxable income."
76,Tax Credits & Calculations,The Additional Child Tax Credit is the refundable portion of the Child Tax Credit.
77,Tax Credits & Calculations,The Foreign Tax Credit can prevent double taxation on income already taxed by another country.
78,Tax Credits & Calculations,"Estimated tax penalties can apply when a taxpayer underpays throughout the year, even if they pay in full by the filing deadline."
79,Residency & Multi-State Filing,"A taxpayer's resident state generally taxes all of their income, regardless of where it was earned."
80,Residency & Multi-State Filing,A nonresident return is typically filed for income earned in a state where the taxpayer doesn't live.
81,Residency & Multi-State Filing,A part-year resident return applies when a taxpayer moved into or out of a state during the tax year.
82,Residency & Multi-State Filing,Many states offer a credit for taxes paid to another state to avoid double taxation on the same income.
83,Residency & Multi-State Filing,"Domicile, not just physical presence, often determines which state a taxpayer is considered a resident of."
84,Residency & Multi-State Filing,Some states have reciprocity agreements that let residents of one state work in another without owing that state's income tax.
85,Residency & Multi-State Filing,A handful of states have no state income tax at all.
86,Residency & Multi-State Filing,"Remote workers may owe tax in the state where they physically work, even if their employer is based elsewhere."
87,General,The IRS officially opens e-file season each year in late January.
88,General,"The federal filing deadline for most individual returns is April 15, unless it falls on a weekend or holiday."
89,General,"Taxpayers can request an automatic six-month extension to file, but an extension to file is not an extension to pay."
90,General,The IRS processes most e-filed returns with direct deposit refunds within 21 days.
91,General,"A Preparer Tax Identification Number, or PTIN, is required for anyone who is paid to prepare federal tax returns."
92,General,Form 1040 is the standard individual income tax return used by nearly all U.S. taxpayers.
93,General,"The IRS uses a progressive tax system, meaning higher portions of income are taxed at higher rates."
94,General,Marginal tax rate and effective tax rate are not the same thing - effective rate is almost always lower.
95,General,Accuracy and attention to detail are two of the most valuable skills a tax preparer can bring to a client.
96,General,Millions of taxpayers use a paid preparer every year instead of filing on their own.
